"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C53,C62,C63,C52,C58,C54,C49,C51,C47,C57,C55,C56";"C_1210_3225Metric";12;"10u";;;
2;"U3,U23,U22,U1,U2,U4,U10,U9";"TDFN-8_L5.9-W5.2-P1.27-LS6.2-BL";8;"S130N10LF";;;
3;"C72,C73,C28,C36,C38,C48,C16,C31,C15,C19";"C_0402_1005Metric";10;"1u";;;
4;"U24";"SOP-14_L8.6-W3.9-P1.27-LS6.0-BL-1";1;"LM2901";;;
5;"C35,C30,C27,C24,C10,C45,C42,C50,C29,C43,C13,C40,C41,C11,C46,C61";"C_0402_1005Metric";16;"100n";;;
6;"L5,L6";"L_0402_1005Metric";2;"2n";;;
7;"R19,R47,R48,R12,R17,R34,R18,R29,R35";"R_0402_1005Metric";9;"10k";;;
8;"C25,C26";"C_0402_1005Metric";2;"7p";;;
9;"C23,C6";"C_1206_3216Metric";2;"47u";;;
10;"R44,R43,R41,R42,R25,R27";"R_0402_1005Metric";6;"4.125k";;;
11;"R1,R6,R26,R24,R7,R5";"R_0805_2012Metric";6;"100k";;;
12;"C39";"C_0402_1005Metric";1;"100p";;;
13;"L3,L2";"IND-SMD_L5.8-W5.2";2;"220u";;;
14;"U25";"SOT-23_L2.9-W1.3-P1.90-LS2.4-BR";1;"AO3400_C4748804";;;
15;"U14";"QFN-56_L7.0-W7.0-P0.40-TL-EP4.0";1;"ESP32-S3(FN8)";;;
16;"C34";"C_0603_1608Metric";1;"4.7u";;;
17;"C4,C2,C44,C9";"C_0805_2012Metric";4;"10u";;;
18;"R2";"R_0402_1005Metric";1;"453k";;;
19;"Y1";"Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm";1;"Crystal_GND24_Small";;;
20;"C22,C5";"C_0603_1608Metric";2;"2.2u";;;
21;"C1,C20";"C_1206_3216Metric";2;"2.2u";;;
22;"U6";"SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR";1;"AMS1117-3.3(XBLW)";;;
23;"R9";"R_0402_1005Metric";1;"200k";;;
24;"U7,U5";"SO-8_L4.9-W3.9-P1.27-LS6.0-BL-EP";2;"LM5164DDAR";;;
25;"D28,D26,D22,D19,D20,D23,D24,D27,D21,D25";"SOD-323_L1.7-W1.3-LS2.5-FD";10;"B16WS_C7420327";;;
26;"C3,C21";"C_0402_1005Metric";2;"2n";;;
27;"R23,R8";"R_2512_6332Metric";2;"2m";;;
28;"R37,R36,R14,R13";"R_0402_1005Metric";4;"5.1k";;;
29;"TH2,TH1";"R_0402_1005Metric";2;"Thermistor_NTC";;;
30;"AE1";"R_1206_3216Metric";1;"Antenna_Shield";;;
31;"R16,R15";"R_0402_1005Metric";2;"0";;;
32;"U19";"SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL";1;"W25Q128JVSIQTR";;;
33;"CN1,CN2";"CONN-TH_XT60PW-M";2;"XT60PW-M";;;
34;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Fan_conn";;;
35;"R10";"R_0402_1005Metric";1;"63k";;;
36;"C37";"C_0402_1005Metric";1;"0.1u";;;
37;"R3";"R_0402_1005Metric";1;"49.9k";;;
38;"R11";"R_0402_1005Metric";1;"24nH";;;
39;"D8,D5,D7,D6";"D_SOD-123";4;"D_Zener";;;
40;"D3,D18,D15,D11,D4,D17,D16,D13,D12,D9,D14,D1,D10,D2";"SOD-323_L1.7-W1.3-LS2.5-FD";14;"B110WS";;;
41;"U12,U20";"VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL";2;"ADS1015IDGSR";;;
42;"R31,R39,R33,R32,R38,R21,R22,R40";"R_0603_1608Metric";8;"4.3";;;
43;"U17,U13,U16,U11";"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL";4;"UCC27211DR";;;
44;"U21,U18";"SOIC-8_3.9x4.9mm_P1.27mm";2;"INA240A2D";;;
45;"C17,C18,C12,C65,C8,C64,C7,C14";"C_0402_1005Metric";8;"300n";;;
46;"R45,R46,R30,R4";"R_0402_1005Metric";4;"500";;;
47;"R28,R20";"R_2512_6332Metric";2;"0.5m";;;
48;"U8,U15";"SC70-6_L2.1-W1.3-P0.65-LS2.3-BL";2;"TP181A1-CR";;;
