Designator,Footprint,Quantity,Value,LCSC Part #
AE1,1206,1,Antenna_Shield,
"C1, C20",1206,2,2.2u,
"C10, C11, C13, C24, C27, C29, C30, C35, C40, C41, C42, C43, C45, C46, C50, C61",0402,16,100n,
"C12, C14, C17, C18, C64, C65, C7, C8",0402,8,300n,
"C15, C16, C19, C28, C31, C36, C38, C48",0402,8,1u,
"C2, C4, C44, C9",0805,4,10u,
"C21, C3, L5, L6",0402,4,2n,
"C22, C5",0603,2,2.2u,
"C23, C6",1206,2,47u,
"C25, C26",0402,2,7p,
"C32, C33, C68, C69, C70, C71",0402,6,C_Small,
C34,0603,1,10u,
C37,0402,1,0.1u,
C39,0402,1,100p,
"C47, C49, C51, C52, C53, C54, C55, C56, C57, C58, C62, C63",1210,12,10u,
"C59, C60, C66, C67",CAP-TH_BD16.0-P7.50-D1.2-FD,4,470u,
"CN1, CN2",CONN-TH_XT60PW-M,2,XT60PW-M,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D3, D4, D9",SOD-323_L1.7-W1.3-LS2.5-FD,23,B16WS_C7420327,
"D5, D6, D7, D8",D_SOD-123,4,D_Zener,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,
"L2, L3",IND-SMD_L5.8-W5.2,2,220u,
"L7, L8",33x10mm toroid,2,L,
OLED1,OLED-TH_L35.4-W33.5_HS13L03W2C01,1,HS13L03W2C01,
"R1, R24, R26, R5, R6, R7",0805,6,100k,
R10,0402,1,63k,
R11,0402,1,R_Small,
"R12, R15, R16, R17, R18, R19, R29, R34, R35",0402,9,10k,
"R13, R14, R36, R37",0402,4,5.1k,
R2,0402,1,453k,
"R20, R28",2512,2,0.5m,
"R21, R22, R31, R32, R33, R38, R39, R40",0603,8,4.2,
"R23, R8",2512,2,1m,
"R25, R27, R41, R42, R43, R44",0402,6,4.125k,
R3,0402,1,49.9k,
"R30, R4, R45, R46",0402,4,500,
R9,0402,1,200k,
"SW1, SW2, SW3, SW4, SW5, SW6",SW_Push_SPST_NO_Alps_SKRK,6,SW_Push,
"U1, U10, U2, U22, U23, U3, U4, U9",TDFN-8_L5.9-W5.2-P1.27-LS6.2-BL,8,S130N10LF,
"U11, U13, U16, U17",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,4,UCC27211DR,
"U12, U20",VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,2,ADS1015IDGSR,
U14,QFN-56_L7.0-W7.0-P0.40-TL-EP4.0,1,ESP32-S3(FN8),
"U15, U8",SC70-6_L2.1-W1.3-P0.65-LS2.3-BL,2,TP181A1-CR,
"U18, U21",SOIC-8_3.9x4.9mm_P1.27mm,2,INA240A2D,
U19,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,
U24,SOP-14_L8.6-W3.9-P1.27-LS6.0-BL-1,1,LM2901,
"U5, U7",SO-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,2,LM5164DDAR,
U6,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,1,AMS1117-3.3(XBLW),
Y1,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,
