Designator,Mid X,Mid Y,Rotation,Layer
AE1,136.75,-149.0,180.0,top
C1,153.6,-114.7,180.0,top
C10,88.27,-77.4,180.0,bottom
C11,88.27,-76.45,180.0,bottom
C12,111.960589,-95.780589,90.0,bottom
C13,147.6,-95.92,270.0,bottom
C14,119.2,-69.8,180.0,bottom
C15,130.42,-76.4,0.0,bottom
C16,124.0,-69.4,0.0,bottom
C17,138.8,-98.8,270.0,bottom
C18,133.1,-69.6,180.0,bottom
C19,118.760589,-100.260589,45.0,bottom
C2,116.83,-114.28,180.0,top
C20,100.4,-109.5,90.0,top
C21,110.8,-108.98,90.0,top
C22,105.325,-100.1,0.0,top
C23,105.4,-103.5,90.0,top
C24,86.31,-66.7,0.0,bottom
C25,144.48,-139.0,180.0,top
C26,144.42,-133.35,0.0,top
C27,158.75,-131.5,0.0,top
C28,159.52,-130.2,0.0,top
C29,152.0,-140.95,270.0,bottom
C3,150.78,-108.1,180.0,top
C30,153.38,-141.75,0.0,top
C31,150.5,-142.45,0.0,bottom
C32,145.8,-140.9,90.0,top
C33,148.7,-140.9,90.0,top
C34,149.975,-142.55,180.0,top
C35,160.03,-135.9,0.0,top
C36,165.3,-126.7,0.0,top
C37,149.8,-134.2,180.0,top
C38,150.4,-139.0,180.0,top
C39,149.9,-138.0,180.0,top
C4,112.43,-120.28,180.0,top
C40,173.4,-84.35,180.0,bottom
C41,173.4,-83.33,180.0,bottom
C42,169.15,-82.85,90.0,bottom
C43,168.15,-82.83,90.0,bottom
C44,116.33,-121.28,0.0,top
C45,90.0,-79.28,270.0,bottom
C46,91.0,-79.32,270.0,bottom
C47,103.5,-89.525,90.0,bottom
C48,139.62,-103.9,0.0,bottom
C49,99.025,-73.0,0.0,bottom
C5,153.4,-99.55,180.0,top
C50,173.49,-88.0,180.0,bottom
C51,103.0,-76.975,270.0,bottom
C52,99.025,-73.05,180.0,top
C53,101.0,-77.025,270.0,top
C54,101.0,-89.525,90.0,top
C55,159.775,-73.5,180.0,bottom
C56,156.5,-77.5,270.0,bottom
C57,157.0,-88.975,90.0,bottom
C58,158.5,-88.975,90.0,top
C59,101.05,-63.0,0.0,top
C6,153.4,-103.05,90.0,top
C60,93.3,-98.05,270.0,top
C61,147.2,-66.88,270.0,bottom
C62,159.825,-73.5,0.0,top
C63,158.3,-77.5,270.0,top
C64,111.5,-99.28,90.0,bottom
C65,127.58,-65.3,0.0,bottom
C66,158.95,-63.0,180.0,top
C67,165.4,-98.95,270.0,top
C68,106.8,-92.4,90.0,bottom
C69,107.0,-74.88,90.0,bottom
C7,130.5,-99.3,180.0,bottom
C70,153.2,-93.32,270.0,bottom
C71,153.0,-72.8,270.0,bottom
C8,136.28,-62.2,180.0,bottom
C9,123.65,-62.5,180.0,bottom
CN1,93.305,-80.69988,0.0,top
CN2,166.295,-81.60012,180.0,top
D1,97.2,-98.0,270.0,bottom
D10,123.24,-66.8,0.0,bottom
D11,132.3,-100.24,90.0,bottom
D12,140.8,-100.4,180.0,bottom
D13,131.6,-64.0,270.0,bottom
D14,133.7,-65.3,90.0,bottom
D15,121.75,-96.4,90.0,bottom
D16,120.0,-68.2,0.0,bottom
D17,131.725,-97.5,180.0,bottom
D18,129.9,-66.1,180.0,bottom
D19,170.4,-141.8,270.0,bottom
D2,161.8,-98.0,270.0,bottom
D20,152.15,-91.5,0.0,bottom
D21,152.04,-68.8,0.0,bottom
D22,107.8,-94.2,180.0,bottom
D23,108.0,-79.0,180.0,bottom
D24,113.4,-85.2,180.0,bottom
D25,112.2,-73.8,180.0,bottom
D26,146.365,-91.4,0.0,bottom
D27,147.2,-79.8,0.0,bottom
D3,121.46,-99.25,180.0,bottom
D4,126.4,-68.6,90.0,bottom
D5,119.760589,-94.860589,270.0,bottom
D6,113.0,-71.2,0.0,bottom
D7,142.0,-98.6,180.0,bottom
D8,133.45,-67.7,180.0,bottom
D9,123.5,-96.060589,90.0,bottom
J1,175.715022,-136.103263,90.0,top
J2,167.5,-144.58,0.0,top
L2,148.8,-103.25,270.0,top
L3,110.3,-103.5,270.0,top
L5,152.0,-140.95,90.0,top
L6,147.3,-141.4,0.0,top
L7,128.45,-87.5,270.0,top
L8,128.324999,-79.075,270.0,top
OLED1,112.9,-134.45,180.0,top
R1,158.25,-111.7125,90.0,top
R10,113.2,-111.3,270.0,top
R11,147.14,-137.0,180.0,top
R12,163.3,-126.7,0.0,top
R13,174.95,-137.85,270.0,bottom
R14,174.95,-133.84,90.0,bottom
R15,166.81,-136.7,180.0,top
R16,166.8,-135.61,180.0,top
R17,86.59,-89.85,180.0,bottom
R18,86.6,-91.25,180.0,bottom
R19,84.75,-72.05,0.0,top
R2,155.7,-101.81,270.0,top
R20,170.8375,-78.4,180.0,bottom
R21,113.6,-83.4,0.0,bottom
R22,107.9,-96.2,0.0,bottom
R23,142.5625,-79.4,0.0,top
R24,165.475,-81.975,180.0,bottom
R25,168.15,-84.35,180.0,bottom
R26,94.5025,-73.65,0.0,bottom
R27,94.39,-72.0,180.0,bottom
R28,88.6625,-84.2,0.0,bottom
R29,174.56,-95.95,180.0,bottom
R3,157.3,-104.4,0.0,top
R30,136.7,-64.090001,270.0,bottom
R31,152.125,-89.8,180.0,bottom
R32,151.925,-70.65,180.0,bottom
R33,146.275,-89.5,180.0,bottom
R34,176.0,-96.51,90.0,bottom
R35,175.74,-98.15,180.0,bottom
R36,112.85,-146.95,180.0,top
R37,110.55,-146.56,90.0,top
R38,147.25,-81.9,180.0,bottom
R39,112.5,-75.5,0.0,bottom
R4,132.6,-94.0,180.0,bottom
R40,107.925,-76.9,0.0,bottom
R41,168.6,-117.19,180.0,top
R42,177.21,-110.810001,270.0,top
R43,177.19,-112.729999,270.0,top
R44,177.23,-114.659999,270.0,top
R45,110.1,-97.809999,90.0,bottom
R46,115.9,-79.0,0.0,bottom
R5,120.4,-60.6875,270.0,bottom
R6,100.4,-114.1,270.0,top
R7,120.4,-64.1,270.0,bottom
R8,142.6,-87.0,0.0,top
R9,113.2,-109.2,270.0,top
SW1,164.5,-122.9,270.0,top
SW2,169.2,-122.9,270.0,top
SW3,161.7,-146.4,90.0,top
SW4,156.2,-146.3,90.0,top
SW5,150.7,-146.3,90.0,top
SW6,144.9,-146.3,90.0,top
U1,151.09,-86.6,270.0,top
U10,108.89,-74.0,270.0,top
U11,115.388089,-95.860589,270.0,bottom
U12,172.5,-91.6,0.0,bottom
U13,120.0,-73.0,180.0,bottom
U14,154.99,-135.6,180.0,top
U15,170.95,-83.05,0.0,bottom
U16,136.0,-99.8,270.0,bottom
U17,133.23,-73.0,0.0,bottom
U18,142.725,-94.705,270.0,bottom
U19,157.0,-123.4,90.0,top
U2,151.09,-80.1,270.0,top
U20,88.9,-67.7,0.0,bottom
U21,142.525,-66.905,90.0,bottom
U22,108.81,-86.4,90.0,top
U23,108.81,-79.9,90.0,top
U24,171.76,-112.67,270.0,top
U3,150.98,-92.65,90.0,top
U4,151.01,-74.0,90.0,top
U5,154.35,-109.55,0.0,top
U6,115.85,-117.88,180.0,top
U7,106.1,-110.3,270.0,top
U8,88.45,-79.65,180.0,bottom
U9,108.83,-92.66,270.0,top
Y1,144.35,-136.15,90.0,top
